timestamp,free_heap,largest_block,ratio,event_context
4.7,352904,303100,0.858874,unknown
9.7,352096,303100,0.860845,unknown
14.7,351832,303100,0.861491,unknown
19.7,350484,303100,0.864804,unknown
24.7,350204,303100,0.865496,unknown
29.7,349996,303100,0.86601,unknown
34.7,349796,303100,0.866505,unknown
39.7,347220,303100,0.872934,unknown
44.7,346948,303100,0.873618,unknown
49.8,346668,303100,0.874324,unknown
54.8,346416,303100,0.87496,unknown
60.0,354048,303100,0.856099,unknown
65.0,353504,303100,0.857416,unknown
70.0,353000,303100,0.85864,unknown
75.0,352184,303100,0.86063,unknown
80.0,351944,303100,0.861217,unknown
85.0,350636,303100,0.864429,unknown
90.1,350324,303100,0.865199,unknown
95.1,350164,303100,0.865594,unknown
100.1,349952,303100,0.866119,unknown
105.1,347488,303100,0.87226,unknown
110.1,347208,303100,0.872964,unknown
115.1,347008,303100,0.873467,unknown
120.3,354048,303100,0.856099,unknown
125.3,352944,303100,0.858776,unknown
130.3,346932,303100,0.873658,unknown
135.3,340188,294908,0.866897,unknown
140.4,338196,294908,0.872003,unknown
145.4,326868,278524,0.852099,unknown
150.4,324964,278524,0.857092,unknown
155.4,322556,278524,0.86349,unknown
160.4,317632,270332,0.851086,unknown
165.4,312816,270332,0.864189,unknown
170.4,305480,258044,0.844716,unknown
175.4,321024,270332,0.842093,unknown
180.7,343072,262140,0.764096,unknown
185.8,345132,262140,0.759535,unknown
190.8,344508,262140,0.760911,unknown
195.8,344012,262140,0.762008,unknown
200.8,343140,262140,0.763945,unknown
205.8,342376,262140,0.765649,unknown
210.8,342176,262140,0.766097,unknown
215.8,341976,262140,0.766545,unknown
220.8,340380,262140,0.770139,unknown
225.8,339236,262140,0.772736,unknown
230.8,339004,262140,0.773265,unknown
235.9,338804,262140,0.773722,unknown
241.1,346060,262140,0.757499,unknown
246.1,345484,262140,0.758762,unknown
251.1,344900,262140,0.760046,unknown
256.1,344156,262140,0.761689,unknown
261.1,343988,262140,0.762061,unknown
266.1,342664,262140,0.765006,unknown
271.1,342384,262140,0.765632,unknown
276.1,342184,262140,0.766079,unknown
