timestamp,free_heap,largest_block,ratio,event_context
0.8,350752,303100,0.864143,WEATHER_EVENT WEATHER EVENT ENDED
5.8,355064,303100,0.853649,WEATHER_EVENT WEATHER EVENT ENDED
10.8,354800,303100,0.854284,WEATHER_EVENT WEATHER EVENT ENDED
15.8,354648,303100,0.85465,WEATHER_EVENT WEATHER EVENT ENDED
20.9,354344,303100,0.855383,WEATHER_EVENT WEATHER EVENT ENDED
25.9,354144,303100,0.855867,WEATHER_EVENT WEATHER EVENT ENDED
30.9,354024,303100,0.856157,WEATHER_EVENT WEATHER EVENT ENDED
35.9,353680,303100,0.856989,WEATHER_EVENT WEATHER EVENT ENDED
40.9,353368,303100,0.857746,WEATHER_EVENT WEATHER EVENT ENDED
45.9,353136,303100,0.85831,WEATHER_EVENT WEATHER EVENT ENDED
50.9,352864,303100,0.858971,WEATHER_EVENT WEATHER EVENT ENDED
55.9,352744,303100,0.859263,WEATHER_EVENT WEATHER EVENT ENDED
61.2,353424,303100,0.85761,RESIZE sensor buffer
66.2,354832,303100,0.854207,WEATHER_EVENT WEATHER EVENT STARTED
71.2,348924,303100,0.868671,WEATHER_EVENT WEATHER EVENT STARTED
76.2,346588,303100,0.874525,WEATHER_EVENT WEATHER EVENT STARTED
81.2,340648,294908,0.865726,WEATHER_EVENT WEATHER EVENT STARTED
86.2,334804,286716,0.85637,WEATHER_EVENT WEATHER EVENT STARTED
91.2,329224,286716,0.870884,WEATHER_EVENT WEATHER EVENT ENDED
96.2,328944,286716,0.871626,WEATHER_EVENT WEATHER EVENT ENDED
101.2,328744,286716,0.872156,WEATHER_EVENT WEATHER EVENT ENDED
106.2,328400,286716,0.873069,WEATHER_EVENT WEATHER EVENT ENDED
111.3,328128,286716,0.873793,WEATHER_EVENT WEATHER EVENT ENDED
116.3,327936,286716,0.874305,WEATHER_EVENT WEATHER EVENT ENDED
122.2,331328,286716,0.865354,RESIZE sensor buffer
127.2,354752,286716,0.808215,RESIZE sensor buffer
132.2,354520,286716,0.808744,RESIZE sensor buffer
137.2,354256,286716,0.809347,RESIZE sensor buffer
142.3,354024,286716,0.809877,RESIZE sensor buffer
147.3,353792,286716,0.810408,RESIZE sensor buffer
152.3,353312,286716,0.811509,WEATHER_EVENT WEATHER EVENT STARTED
157.3,347460,286716,0.825177,WEATHER_EVENT WEATHER EVENT STARTED
162.3,341508,286716,0.839559,WEATHER_EVENT WEATHER EVENT STARTED
167.3,335696,286716,0.854094,WEATHER_EVENT WEATHER EVENT STARTED
172.3,331280,286716,0.865479,WEATHER_EVENT WEATHER EVENT STARTED
177.3,327772,286716,0.874742,WEATHER_EVENT WEATHER EVENT STARTED
183.3,327036,278524,0.851662,RESIZE sensor buffer
188.3,355064,278524,0.784433,RESIZE sensor buffer
193.3,355064,278524,0.784433,RESIZE sensor buffer
198.3,355064,278524,0.784433,RESIZE sensor buffer
203.3,355064,278524,0.784433,RESIZE sensor buffer
208.4,355064,278524,0.784433,RESIZE sensor buffer
213.4,355064,278524,0.784433,RESIZE sensor buffer
218.4,355064,278524,0.784433,RESIZE sensor buffer
223.4,355064,278524,0.784433,RESIZE sensor buffer
228.4,355064,278524,0.784433,RESIZE sensor buffer
233.4,355064,278524,0.784433,RESIZE sensor buffer
238.4,355064,278524,0.784433,RESIZE sensor buffer
243.5,355064,278524,0.784433,RESIZE sensor buffer
248.5,355064,278524,0.784433,RESIZE sensor buffer
253.5,355064,278524,0.784433,RESIZE sensor buffer
258.5,355064,278524,0.784433,RESIZE sensor buffer
263.5,355064,278524,0.784433,RESIZE sensor buffer
268.6,355064,278524,0.784433,RESIZE sensor buffer
273.6,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT ENDED
278.6,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT ENDED
283.6,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT ENDED
288.6,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT ENDED
293.6,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT ENDED
298.6,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT ENDED
303.7,355064,278524,0.784433,RESIZE sensor buffer
308.7,355064,278524,0.784433,RESIZE sensor buffer
313.7,355064,278524,0.784433,RESIZE sensor buffer
318.7,355064,278524,0.784433,RESIZE sensor buffer
323.7,355064,278524,0.784433,RESIZE sensor buffer
328.8,355064,278524,0.784433,RESIZE sensor buffer
333.8,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT STARTED
338.8,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT STARTED
343.8,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT STARTED
348.8,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT STARTED
353.8,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT STARTED
358.8,355064,278524,0.784433,WEATHER_EVENT WEATHER EVENT STARTED
